 SLIQ, KRLIQ, KRGAS
   6.9076305E-01,   7.3845382E-01,   2.6154618E-01
   6.9477912E-01,   7.4347390E-01,   2.5652610E-01
   6.9879518E-01,   7.4849398E-01,   2.5150602E-01
   7.0281124E-01,   7.5351406E-01,   2.4648594E-01
   7.0682731E-01,   7.5853414E-01,   2.4146586E-01
   7.1084337E-01,   7.6355422E-01,   2.3644578E-01
   7.1485944E-01,   7.6857430E-01,   2.3142570E-01
   7.1887550E-01,   7.7359438E-01,   2.2640562E-01
   7.2289157E-01,   7.7861446E-01,   2.2138554E-01
   7.2690763E-01,   7.8363454E-01,   2.1636546E-01
   7.3092369E-01,   7.8865462E-01,   2.1134538E-01
   7.3493976E-01,   7.9367470E-01,   2.0632530E-01
   7.3895582E-01,   7.9869478E-01,   2.0130522E-01
   7.4297189E-01,   8.0371486E-01,   1.9628514E-01
   7.4698795E-01,   8.0873494E-01,   1.9126506E-01
   7.5100402E-01,   8.1375502E-01,   1.8624498E-01
   7.5502008E-01,   8.1877510E-01,   1.8122490E-01
   7.5903614E-01,   8.2379518E-01,   1.7620482E-01
   7.6305221E-01,   8.2881526E-01,   1.7118474E-01
   7.6706827E-01,   8.3383534E-01,   1.6616466E-01
   7.7108434E-01,   8.3885542E-01,   1.6114458E-01
   7.7510040E-01,   8.4387550E-01,   1.5612450E-01
   7.7911647E-01,   8.4889558E-01,   1.5110442E-01
   7.8313253E-01,   8.5391566E-01,   1.4608434E-01
   7.8714859E-01,   8.5893574E-01,   1.4106426E-01
   7.9116466E-01,   8.6395582E-01,   1.3604418E-01
   7.9518072E-01,   8.6897590E-01,   1.3102410E-01
   7.9919679E-01,   8.7399598E-01,   1.2600402E-01
   8.0321285E-01,   8.7901606E-01,   1.2098394E-01
   8.0722892E-01,   8.8403614E-01,   1.1596386E-01
   8.1124498E-01,   8.8905622E-01,   1.1094378E-01
   8.1526104E-01,   8.9407631E-01,   1.0592369E-01
   8.1927711E-01,   8.9909639E-01,   1.0090361E-01
   8.2329317E-01,   9.0411647E-01,   9.5883534E-02
   8.2730924E-01,   9.0913655E-01,   9.0863454E-02
   8.3132530E-01,   9.1415663E-01,   8.5843373E-02
   8.3534137E-01,   9.1917671E-01,   8.0823293E-02
   8.3935743E-01,   9.2419679E-01,   7.5803213E-02
   8.4337349E-01,   9.2921687E-01,   7.0783133E-02
   8.4738956E-01,   9.3423695E-01,   6.5763052E-02
   8.5140562E-01,   9.3925703E-01,   6.0742972E-02
   8.5542169E-01,   9.4427711E-01,   5.5722892E-02
   8.5943775E-01,   9.4929719E-01,   5.0702811E-02
   8.6345382E-01,   9.5431727E-01,   4.5682731E-02
   8.6746988E-01,   9.5933735E-01,   4.0662651E-02
   8.7148594E-01,   9.6435743E-01,   3.5642570E-02
   8.7550201E-01,   9.6937751E-01,   3.0622490E-02
   8.7951807E-01,   9.7439759E-01,   2.5602410E-02
   8.8353414E-01,   9.7941767E-01,   2.0582329E-02
   8.8755020E-01,   9.8443775E-01,   1.5562249E-02
   8.9156627E-01,   9.8945783E-01,   1.0542169E-02
   8.9558233E-01,   9.9447791E-01,   5.5220884E-03
   8.9959839E-01,   9.9949799E-01,   5.0200803E-04
   9.0361446E-01,   1.0045181E+00,   0.0000000E+00
   9.0763052E-01,   1.0095382E+00,   0.0000000E+00
   9.1164659E-01,   1.0145582E+00,   0.0000000E+00
   9.1566265E-01,   1.0195783E+00,   0.0000000E+00
   9.1967871E-01,   1.0245984E+00,   0.0000000E+00
   9.2369478E-01,   1.0296185E+00,   0.0000000E+00
   9.2771084E-01,   1.0346386E+00,   0.0000000E+00
   9.3172691E-01,   1.0396586E+00,   0.0000000E+00
   9.3574297E-01,   1.0446787E+00,   0.0000000E+00
   9.3975904E-01,   1.0496988E+00,   0.0000000E+00
   9.4377510E-01,   1.0547189E+00,   0.0000000E+00
   9.4779116E-01,   1.0597390E+00,   0.0000000E+00
   9.5180723E-01,   1.0647590E+00,   0.0000000E+00
   9.5582329E-01,   1.0697791E+00,   0.0000000E+00
   9.5983936E-01,   1.0747992E+00,   0.0000000E+00
   9.6385542E-01,   1.0798193E+00,   0.0000000E+00
   9.6787149E-01,   1.0848394E+00,   0.0000000E+00
   9.7188755E-01,   1.0898594E+00,   0.0000000E+00
   9.7590361E-01,   1.0948795E+00,   0.0000000E+00
   9.7991968E-01,   1.0998996E+00,   0.0000000E+00
   9.8393574E-01,   1.1049197E+00,   0.0000000E+00
   9.8795181E-01,   1.1099398E+00,   0.0000000E+00
   9.9196787E-01,   1.1149598E+00,   0.0000000E+00
   9.9598394E-01,   1.1199799E+00,   0.0000000E+00
   1.0000000E+00,   1.1250000E+00,   0.0000000E+00
